ID;Name;FullName;Age;Height;Weight;Nationality;Overall;Potential;Growth;TotalStats;BaseStats;BestPosition;Club;ValueEUR;WageEUR;ReleaseClause;ContractUntil;ClubJoined;PreferredFoot
231281;T. Alexander-Arnold;Trent Alexander-Arnold;23;180;69;England;87;90;3;2234;467;CM;Liverpool;100500000;150000;193500000;2025;2015;Right
228702;F. de Jong;Frenkie de Jong;25;180;74;Netherlands;87;92;5;2238;479;CM;FC Barcelona;116500000;230000;247600000;2026;2019;Right
216267;A. Robertson;Andrew Robertson;28;178;64;Scotland;87;87;0;2154;461;LB;Liverpool;72000000;185000;133199999;2026;2017;Left
231866;Rodri;Rodrigo Hern�ndez Cascante;26;191;82;Spain;87;89;2;2133;453;CDM;Manchester City;88500000;200000;170400000;2027;2019;Right
202652;R. Sterling;Raheem Sterling;27;170;69;England;86;86;0;2102;447;LW;Chelsea;72500000;195000;134100000;2027;2022;Right
197445;D. Alaba;David Alaba;30;180;78;Austria;86;86;0;2277;475;CB;Real Madrid CF;55500000;220000;113800000;2026;2021;Left
192505;R. Lukaku;Romelu Lukaku;29;191;94;Belgium;86;86;0;2034;437;ST;Inter;68000000;200000;0;2023;2021;Left
192387;C. Immobile;Ciro Immobile;32;185;85;Italy;86;86;0;2060;434;ST;Lazio;55000000;100000;93500000;2025;2016;Right
204485;R. Mahrez;Riyad Mahrez;31;179;67;Algeria;86;86;0;2063;432;RW;Manchester City;56500000;220000;104500000;2025;2018;Left
164240;Thiago Silva;Thiago Emiliano da Silva;37;183;79;Brazil;86;86;0;2012;410;CB;Chelsea;12000000;115000;22200000;2023;2020;Right
186153;W. Szcz?sny;Wojciech Szcz?sny;32;195;90;Poland;86;86;0;1314;462;GK;Juventus;33500000;125000;57000000;2024;2017;Right
188943;K. Trapp;Kevin Trapp;31;189;84;Germany;86;86;0;1252;464;GK;Eintracht Frankfurt;36000000;43000;61200000;2024;2019;Right
211110;P. Dybala;Paulo Dybala;28;177;75;Argentina;86;86;0;2108;439;CAM;Roma;69500000;130000;118200000;2025;2022;Left
189513;Parejo;Daniel Parejo Mu�oz;33;182;74;Spain;86;86;0;2162;442;CM;Villarreal CF;42000000;64000;88200000;2024;2020;Right
223848;S. Milinkovi?-Savi?;Sergej Milinkovi?-Savi?;27;191;76;Serbia;86;87;1;2250;477;CM;Lazio;77500000;90000;137600000;2024;2015;Right
212198;Bruno Fernandes;Bruno Miguel Borges Fernandes;27;179;69;Portugal;86;87;1;2305;470;CM;Manchester United;78500000;190000;155000000;2026;2020;Right
212218;A. Laporte;Aymeric Laporte;28;191;85;Spain;86;87;1;1962;416;CB;Manchester City;64500000;195000;124200000;2025;2018;Left
213345;K. Coman;Kingsley Coman;26;179;75;France;86;87;1;1981;428;LM;FC Bayern M�nchen;80000000;105000;138000000;2027;2015;Right
238794;Vin�cius Jr.;Vin�cius Jos� de Oliveira J�nior;21;176;73;Brazil;86;92;6;1985;434;LW;Real Madrid CF;109000000;200000;245300000;2025;2018;Right
216352;M. Brozovi?;Marcelo Brozovi?;29;181;68;Croatia;86;86;0;2227;464;CDM;Inter;58000000;110000;95700000;2026;2016;Right
189509;Thiago;Thiago Alc�ntara;31;174;70;Spain;86;86;0;2225;451;CM;Liverpool;55500000;180000;102700000;2024;2020;Right
234642;�. Mendy;�douard Mendy;30;197;86;Senegal;86;87;1;1225;455;GK;Chelsea;51000000;130000;98200000;2025;2020;Right
224232;N. Barella;Nicol� Barella;25;172;68;Italy;86;89;3;2296;480;CM;Inter;89500000;110000;154400000;2026;2020;Right
232411;C. Nkunku;Christopher Nkunku;24;175;73;France;86;89;3;2196;471;CAM;RB Leipzig;94000000;90000;166900000;2024;2019;Right
232363;M. �kriniar;Milan �kriniar;27;188;80;Slovakia;86;87;1;1861;418;CB;Inter;68500000;105000;118200000;2023;2017;Right
231478;L. Mart�nez;Lautaro Mart�nez;24;174;72;Argentina;86;90;4;2163;455;ST;Inter;98500000;110000;169900000;2026;2018;Right
177683;Y. Sommer;Yann Sommer;33;183;79;Switzerland;85;85;0;1356;468;GK;Borussia M�nchengladbach;17500000;40000;29800000;2023;2014;Right
208830;J. Vardy;Jamie Vardy;35;179;74;England;85;85;0;2118;440;ST;Leicester City;23000000;110000;43700000;2023;2012;Right
251854;Pedri;Pedro Gonz�lez L�pez;19;174;61;Spain;85;93;8;2109;455;CM;FC Barcelona;116000000;115000;261000000;2026;2020;Right
237692;P. Foden;Phil Foden;22;171;69;England;85;92;7;2083;446;CAM;Manchester City;109500000;180000;224500000;2024;2016;Left
235243;M. de Ligt;Matthijs de Ligt;22;189;89;Netherlands;85;89;4;1982;434;CB;FC Bayern M�nchen;71000000;77000;122500000;2027;2022;Right
234236;P. Schick;Patrik Schick;26;191;85;Czech Republic;85;87;2;1999;427;ST;Bayer 04 Leverkusen;67500000;95000;119800000;2027;2020;Left
232656;T. Hern�ndez;Theo Hern�ndez;24;184;81;France;85;90;5;2195;483;LWB;AC Milan;76000000;82000;134900000;2026;2019;Left
224458;Diogo Jota;Diogo Jos� Teixeira da Silva;25;178;73;Portugal;85;89;4;2183;462;ST;Liverpool;76000000;170000;146300000;2025;2020;Right
224334;M. Acu�a;Marcos Acu�a;30;172;69;Argentina;85;85;0;2303;483;LB;Sevilla FC;46500000;46000;97700000;2024;2020;Left
216594;N. Fekir;Nabil Fekir;28;173;75;France;85;85;0;2126;452;CAM;Real Betis Balompi�;54500000;48000;114500000;2026;2019;Left
212190;N. S�le;Niklas S�le;26;195;99;Germany;85;87;2;1839;410;CB;Borussia Dortmund;59000000;72000;104700000;2026;2022;Right
208574;F. Kosti?;Filip Kosti?;29;184;84;Serbia;85;85;0;2234;474;LM;Eintracht Frankfurt;53000000;56000;90100000;2023;2019;Left
185122;P. Gul�csi;P�ter Gul�csi;32;191;86;Hungary;85;85;0;1305;456;GK;RB Leipzig;26500000;65000;45100000;2025;2015;Right
208418;Y. Carrasco;Yannick Carrasco;28;185;73;Belgium;85;85;0;2153;458;LM;Atl�tico de Madrid;54500000;90000;111700000;2024;2020;Right
208093;Gerard Moreno;Gerard Moreno Balaguer�;30;180;77;Spain;85;85;0;2109;442;ST;Villarreal CF;53000000;64000;111300000;2027;2018;Left
206113;S. Gnabry;Serge Gnabry;26;176;77;Germany;85;85;0;2058;442;RM;FC Bayern M�nchen;59000000;100000;97400000;2026;2017;Right
202556;M. Depay;Memphis Depay;28;176;78;Netherlands;85;85;0;2089;444;CF;FC Barcelona;55000000;230000;112800000;2023;2021;Right
195864;P. Pogba;Paul Pogba;29;191;84;France;85;85;0;2170;459;CM;Juventus;52500000;165000;89300000;2026;2022;Right
192629;Iago Aspas;Iago Aspas Juncal;34;176;67;Spain;85;85;0;2069;430;ST;RC Celta de Vigo;26000000;50000;54600000;2025;2015;Left
189511;Sergio Busquets;Sergio Busquets Burgos;33;189;76;Spain;85;85;0;2002;417;CDM;FC Barcelona;26500000;190000;54300000;2023;2008;Right
189332;Jordi Alba;Jordi Alba Ramos;33;170;68;Spain;85;85;0;2218;465;LB;FC Barcelona;28000000;190000;57400000;2024;2012;Left
188567;P. Aubameyang;Pierre-Emerick Aubameyang;33;187;80;Gabon;85;85;0;2028;428;ST;FC Barcelona;34500000;220000;70700000;2025;2022;Right
188377;K. Walker;Kyle Walker;32;183;83;England;85;85;0;2196;471;RB;Manchester City;37500000;170000;69400000;2024;2017;Right
186942;?. G�ndo?an;?lkay G�ndo?an;31;180;80;Germany;85;85;0;2195;458;CM;Manchester City;44000000;185000;81400000;2023;2016;Right
205498;Jorginho;Luiz Frello Filho Jorge;30;180;68;Italy;85;85;0;2128;434;CM;Chelsea;51500000;165000;95300000;2023;2018;Right
188350;M. Reus;Marco Reus;33;180;71;Germany;85;85;0;2154;441;CAM;Borussia Dortmund;33500000;78000;57000000;2023;2012;Right
241852;M. Diaby;Moussa Diaby;22;170;68;France;84;88;4;1960;429;RM;Bayer 04 Leverkusen;61500000;70000;109200000;2025;2019;Left
240130;�der Milit�o;�der Gabriel Milit�o;24;186;78;Brazil;84;89;5;2043;445;CB;Real Madrid CF;57500000;160000;122200000;2025;2019;Right
241096;S. Tonali;Sandro Tonali;22;181;79;Italy;84;90;6;2225;475;CDM;AC Milan;62500000;75000;118800000;2026;2021;Right
241486;J. Kound�;Jules Kound�;23;181;75;France;84;89;5;1926;429;CB;FC Barcelona;57500000;150000;122200000;2027;2022;Right
241721;Rafael Le�o;Rafael da Concei��o Le�o;23;188;81;Portugal;84;90;6;1971;429;LW;AC Milan;66500000;90000;126400000;2024;2019;Right
242444;Jo�o F�lix;Jo�o F�lix Sequeira;22;181;70;Portugal;84;90;6;2110;439;CAM;Atl�tico de Madrid;68500000;78000;154100000;2026;2019;Right
246430;D. Vlahovi?;Du�an Vlahovi?;22;190;75;Serbia;84;91;7;1912;416;ST;Juventus;86500000;140000;164400000;2026;2022;Left
252371;J. Bellingham;Jude Bellingham;19;186;75;England;84;91;7;2182;469;CM;Borussia Dortmund;81500000;41000;154900000;2025;2020;Right
269761;J. Tartt;Jamie Tartt;24;178;84;England;84;91;7;2073;439;CAM;AFC Richmond;85500000;1000;196700000;2025;2020;Right
189575;Muniain;Iker Muniain Go�i;29;170;66;Spain;84;84;0;2088;439;LM;Athletic Club de Bilbao;41500000;49000;87200000;2024;2009;Right
197061;J. Matip;Joel Matip;30;194;90;Cameroon;84;84;0;1899;412;CB;Liverpool;34500000;140000;63800000;2024;2016;Right
198219;L. Insigne;Lorenzo Insigne;31;163;59;Italy;84;84;0;2013;417;CAM;Toronto FC;35000000;19000;52500000;2026;2022;Right
199434;D. Tadi?;Du�an Tadi?;33;181;76;Serbia;84;84;0;2106;439;LW;Ajax;26500000;32000;37100000;2024;2018;Left
199451;W. Ben Yedder;Wissam Ben Yedder;31;170;68;France;84;84;0;2102;438;CF;AS Monaco;35500000;88000;67500000;2024;2019;Right
201535;R. Varane;Rapha�l Varane;29;191;81;France;84;85;1;1910;424;CB;Manchester United;39000000;155000;77000000;2025;2021;Right
202811;E. Mart�nez;Emiliano Mart�nez;29;195;88;Argentina;84;84;0;1457;476;GK;Aston Villa;29000000;95000;55100000;2027;2020;Right
204639;S. Savi?;Stefan Savi?;31;187;81;Montenegro;84;84;0;1755;380;CB;Atl�tico de Madrid;29000000;74000;59500000;2024;2015;Right
204963;Carvajal;Daniel Carvajal Ramos;30;173;73;Spain;84;84;0;2105;450;RB;Real Madrid CF;36500000;185000;74800000;2025;2013;Right
206517;J. Grealish;Jack Grealish;26;180;81;England;84;85;1;2017;437;LW;Manchester City;49500000;185000;95300000;2027;2021;Right
207410;M. Kova?i?;Mateo Kova?i?;28;176;80;Croatia;84;84;0;2141;452;CM;Chelsea;42000000;155000;77700000;2024;2019;Right
208128;H. �alhano?lu;Hakan �alhano?lu;28;178;76;Turkey;84;84;0;2172;450;CM;Inter;42000000;100000;69300000;2024;2021;Right
241084;L. D�az;Luis D�az;25;180;73;Colombia;84;87;3;2049;440;RM;Liverpool;56000000;155000;107800000;2027;2022;Right
239053;F. Valverde;Federico Valverde;23;182;78;Uruguay;84;90;6;2188;477;CM;Real Madrid CF;66000000;175000;148500000;2027;2016;Right
209989;T. Partey;Thomas Partey;29;185;77;Ghana;84;84;0;2143;460;CDM;Arsenal;36000000;115000;68400000;2024;2020;Right
238074;R. James;Reece James;22;178;87;England;84;88;4;2225;477;RWB;Chelsea;57000000;120000;109700000;2025;2017;Right
192984;K. Casteels;Koen Casteels;30;197;86;Belgium;84;85;1;1301;460;GK;VfL Wolfsburg;31500000;55000;55900000;2024;2015;Left
190286;Canales;Sergio Canales Madrazo;31;176;65;Spain;84;84;0;2213;468;RM;Real Betis Balompi�;35000000;42000;73500000;2026;2018;Left
220814;L. Hern�ndez;Lucas Hern�ndez;26;184;79;France;84;86;2;2014;435;CB;FC Bayern M�nchen;46000000;82000;79400000;2024;2019;Left
222492;L. San�;Leroy San�;26;183;80;Germany;84;85;1;2086;438;LM;FC Bayern M�nchen;49500000;90000;85400000;2025;2020;Left
222665;M. �degaard;Martin �degaard;23;178;68;Norway;84;89;5;2109;442;CAM;Arsenal;63500000;105000;125400000;2026;2021;Left
226161;Marcos Llorente;Marcos Llorente Moreno;27;184;74;Spain;84;85;1;2244;489;CAM;Atl�tico de Madrid;48000000;81000;102000000;2027;2019;Right
226790;W. Ndidi;Wilfred Ndidi;25;183;74;Nigeria;84;86;2;2087;437;CB;Leicester City;47500000;105000;93800000;2024;2017;Right
228251;L. Pellegrini;Lorenzo Pellegrini;26;186;77;Italy;84;87;3;2258;474;CAM;Roma;55000000;95000;97600000;2026;2017;Right
230142;Oyarzabal;Mikel Oyarzabal Ugarte;25;181;79;Spain;84;86;2;2056;431;CAM;Real Sociedad;53000000;57000;115300000;2024;2014;Left
230938;F. Kessi�;Franck Yannick Kessi�;25;183;88;C�te d'Ivoire;84;86;2;2206;476;CDM;FC Barcelona;47500000;165000;100900000;2026;2022;Right
232756;F. Tomori;Fikayo Tomori;24;185;79;England;84;90;6;1875;418;CB;AC Milan;60500000;75000;115000000;2025;2021;Right
233049;J. Sancho;Jadon Sancho;22;180;76;England;84;88;4;1977;420;CAM;Manchester United;61500000;155000;121500000;2026;2021;Right
233064;M. Mount;Mason Mount;23;180;74;England;84;87;3;2119;444;CAM;Chelsea;57500000;130000;110700000;2024;2016;Right
234378;D. Rice;Declan Rice;23;185;80;England;84;87;3;2075;450;CDM;West Ham United;52000000;83000;102700000;2024;2016;Right
234396;A. Davies;Alphonso Davies;21;185;77;Canada;84;89;5;2170;476;LM;FC Bayern M�nchen;60500000;59000;104400000;2025;2019;Left
235212;A. Hakimi;Achraf Hakimi;23;181;73;Morocco;84;87;3;2229;479;RB;Paris Saint-Germain;53500000;90000;103000000;2026;2021;Right
235790;K. Havertz;Kai Havertz;23;189;82;Germany;84;91;7;2042;434;CAM;Chelsea;84500000;130000;173200000;2025;2020;Left
235805;F. Chiesa;Federico Chiesa;24;175;70;Italy;84;90;6;2073;455;RM;Juventus;66500000;140000;126400000;2025;2022;Right
237383;A. Bastoni;Alessandro Bastoni;23;190;75;Italy;84;90;6;1890;416;CB;Inter;60500000;75000;111900000;2024;2017;Left
209981;Y. Bounou;Yassine Bounou;31;192;78;Morocco;84;84;0;1262;446;GK;Sevilla FC;22500000;34000;47300000;2025;2020;Left
198176;S. de Vrij;Stefan de Vrij;30;189;78;Netherlands;84;84;0;1873;408;CB;Inter;34500000;88000;56900000;2023;2018;Right
210935;D. Berardi;Domenico Berardi;27;183;72;Italy;84;84;0;2063;438;RM;U.S. Sassuolo Calcio;45000000;57000;76500000;2024;2012;Left
178603;M. Hummels;Mats Hummels;33;191;94;Germany;84;84;0;2024;424;CB;Borussia Dortmund;20000000;66000;34000000;2023;2019;Right
212616;R. De Paul;Rodrigo Javier De Paul;28;180;70;Argentina;84;84;0;2240;476;CM;Atl�tico de Madrid;42000000;85000;86100000;2026;2021;Right
138956;G. Chiellini;Giorgio Chiellini;37;187;85;Italy;84;84;0;1815;396;CB;Los Angeles FC;7500000;11000;11300000;2023;2022;Left
143076;A. G�mez;Alejandro G�mez;34;167;68;Argentina;84;84;0;2035;425;CAM;Sevilla FC;20000000;47000;42000000;2024;2021;Right
155862;Sergio Ramos;Sergio Ramos Garc�a;36;184;82;Spain;84;84;0;2137;432;CB;Paris Saint-Germain;7500000;75000;13900000;2023;2021;Right
175943;D. Mertens;Dries Mertens;35;169;61;Belgium;84;84;0;1999;416;CF;Galatasaray SK;18000000;86000;34200000;2023;2022;Right
176580;L. Su�rez;Luis Su�rez;35;182;86;Uruguay;84;84;0;2231;438;ST;Club Nacional de Football;18000000;1000;39600000;2022;2022;Right
162835;S. Handanovi?;Samir Handanovi?;37;193;92;Slovenia;84;84;0;1265;444;GK;Inter;4700000;46000;7800000;2023;2012;Right
180930;E. D�eko;Edin D�eko;36;193;80;Bosnia and Herzegovina;84;84;0;1954;415;ST;Inter;14500000;80000;23900000;2023;2021;Right
183277;E. Hazard;Eden Hazard;31;175;74;Belgium;84;84;0;2045;430;LW;Real Madrid CF;35000000;220000;71800000;2024;2019;Right
183898;�. Di Mar�a;�ngel Di Mar�a;34;180;69;Argentina;84;84;0;2142;444;RW;Juventus;20000000;160000;34000000;2023;2022;Left
184344;L. Bonucci;Leonardo Bonucci;35;190;85;Italy;84;84;0;1947;415;CB;Juventus;11000000;95000;18700000;2024;2018;Right
186345;K. Trippier;Kieran Trippier;31;173;71;England;84;84;0;2181;444;RB;Newcastle United;30500000;120000;58000000;2024;2022;Right
181458;I. Peri�i?;Ivan Peri�i?;33;186;80;Croatia;84;84;0;2238;472;LM;Tottenham Hotspur;26500000;130000;50400000;2024;2022;Right
216393;Y. Tielemans;Youri Tielemans;25;176;72;Belgium;84;86;2;2187;446;CM;Leicester City;52500000;115000;103700000;2023;2019;Right
213565;T. Lemar;Thomas Lemar;26;171;63;France;83;86;3;2215;462;CAM;Atl�tico de Madrid;47000000;74000;99900000;2023;2018;Left
210243;Ricardo Pereira;Ricardo Barbosa Pereira;28;175;70;Portugal;83;83;0;2168;459;RB;Leicester City;33000000;105000;62700000;2026;2018;Right
210315;De Tom�s;Ra�l De Tom�s G�mez;27;180;79;Spain;83;84;1;2102;439;ST;RCD Espanyol de Barcelona;42500000;35000;92400000;2026;2020;Right
210406;P. Zieli?ski;Piotr Zieli?ski;28;180;75;Poland;83;83;0;2125;456;CAM;Napoli;36500000;78000;62100000;2024;2016;Right
215333;D. Zapata;Duv�n Zapata;31;189;88;Colombia;83;83;0;1928;421;ST;Atalanta;30500000;77000;51900000;2024;2020;Right
213648;P. H�jbjerg;Pierre-Emile H�jbjerg;26;187;84;Denmark;83;85;2;2108;444;CDM;Tottenham Hotspur;40500000;110000;80000000;2025;2020;Right
214997;�. Correa;�ngel Correa;27;171;70;Argentina;83;84;1;2140;457;CF;Atl�tico de Madrid;42500000;80000;90300000;2026;2014;Right
203574;J. Stones;John Stones;28;188;76;England;83;84;1;1964;430;CB;Manchester City;34500000;150000;66400000;2026;2016;Right
216460;J. Gim�nez;Jos� Mar�a Gim�nez;27;185;80;Uruguay;83;85;2;1820;401;CB;Atl�tico de Madrid;38500000;68000;81800000;2025;2013;Right
208670;H. Ziyech;Hakim Ziyech;29;181;65;Morocco;83;83;0;2078;438;RW;Chelsea;35500000;155000;65700000;2025;2020;Left
190941;L. Hr�deck�;Luk� Hr�deck�;32;192;83;Finland;83;83;0;1195;440;GK;Bayer 04 Leverkusen;18000000;55000;30600000;2023;2018;Right
201942;Roberto Firmino;Roberto Firmino Barbosa de Oliveira;30;181;76;Brazil;83;83;0;2161;453;CF;Liverpool;35500000;150000;65700000;2023;2015;Right
146536;Jes�s Navas;Jes�s Navas Gonz�lez;36;172;60;Spain;83;83;0;2169;452;RB;Sevilla FC;8000000;28000;16800000;2024;2017;Right
152729;Piqu�;Gerard Piqu� Bernabeu;35;194;85;Spain;83;83;0;1961;416;CB;FC Barcelona;9500000;110000;19500000;2024;2008;Right
163587;K. Schmeichel;Kasper Schmeichel;35;189;89;Denmark;83;83;0;1339;451;GK;OGC Nice;4000000;31000;7600000;2023;2022;Right
168542;David Silva;David Josu� Jim�nez Silva;36;173;67;Spain;83;83;0;2015;408;CAM;Real Sociedad;12000000;37000;25200000;2023;2020;Left
183711;J. Henderson;Jordan Henderson;32;182;80;England;83;83;0;2190;460;CM;Liverpool;28500000;135000;52700000;2025;2011;Right
184134;Fernando;Fernando Reges Mouta;34;183;76;Brazil;83;83;0;2045;440;CDM;Sevilla FC;12500000;39000;26300000;2024;2019;Right
220651;Angeli�o;Jos� �ngel Esmoris Tasende;25;171;69;Spain;83;85;2;2209;461;LM;TSG Hoffenheim;42000000;64000;0;2023;2021;Left
193082;J. Cuadrado;Juan Cuadrado;34;179;72;Colombia;83;83;0;2234;479;RB;Juventus;13500000;120000;23000000;2023;2017;Right
193698;O. Baumann;Oliver Baumann;32;187;82;Germany;83;83;0;1267;456;GK;TSG Hoffenheim;18000000;40000;30600000;2024;2014;Right
193747;Koke;Jorge Resurrecci�n;30;176;77;Spain;83;83;0;2192;461;CM;Atl�tico de Madrid;34500000;74000;70700000;2024;2011;Right
219693;Diego Carlos;Diego Carlos Santos Silva;29;185;86;Brazil;83;83;0;1918;417;CB;Aston Villa;30500000;105000;58000000;2026;2022;Right
225850;P. Kimpembe;Presnel Kimpembe;26;189;80;France;83;86;3;1943;429;CB;Paris Saint-Germain;42000000;95000;80900000;2024;2015;Left
220834;Marco Asensio;Marco Asensio Willemsen;26;182;76;Spain;83;84;1;2036;431;RW;Real Madrid CF;43000000;200000;91400000;2023;2015;Left
224293;R�ben Neves;R�ben Diogo da Silva Neves;25;180;80;Portugal;83;86;3;2171;444;CM;Wolverhampton Wanderers;47500000;105000;93800000;2024;2017;Right
198706;Luis Alberto;Luis Alberto Romero Alconchel;29;183;74;Spain;83;83;0;1982;412;CM;Lazio;35500000;74000;60400000;2025;2016;Right
269760;R. Kent;Roy Kent;40;182;82;England;83;83;0;2114;444;CDM;AFC Richmond;0;800;0;2024;2018;Left
253163;R. Araujo;Ronald Araujo;23;192;91;Uruguay;83;89;6;1905;419;CB;FC Barcelona;52000000;135000;117000000;2026;2018;Right
242516;C. Gakpo;Cody Gakpo;23;189;76;Netherlands;83;87;4;2057;445;RM;PSV;52000000;29000;76700000;2026;2016;Right
241464;Pau Torres;Pau Francisco Torres;25;191;80;Spain;83;89;6;1891;412;CB;Villarreal CF;50500000;43000;116200000;2024;2016;Left
239580;Bremer;Gleison Bremer Silva Nascimento;25;188;82;Brazil;83;87;4;1869;411;CB;Juventus;45500000;115000;80800000;2027;2022;Right
235073;G. Kobel;Gregor Kobel;24;195;88;Switzerland;83;88;5;1251;450;GK;Borussia Dortmund;44000000;40000;78100000;2026;2021;Right
234153;Carlos Soler;Carlos Soler Barrag�n;25;180;76;Spain;83;88;5;2183;463;CM;Valencia CF;53000000;51000;115300000;2023;2015;Right
